Total , Description    , Type
 43633, onyx           , colorprimary
 44198, fangtastic     , mouth
 46001, bloodred       , colortertiary
 47999, lilac          , colorsecondary
 48091, laperm         , body
 48195, oldlace        , colorprimary
 52153, swarley        , eyes
 52518, shale          , colortertiary
 55126, rollercoaster  , mouth
 56703, parakeet       , coloreyes
 57756, morningglory   , colortertiary
 60166, kalahari       , colortertiary
 60746, asif           , eyes
 62406, confuzzled     , mouth
 62719, ganado         , pattern
 63462, doridnudibranch, coloreyes
 64667, skyblue        , colorsecondary
 66033, leopard        , pattern
 67709, cloudwhite     , colorprimary
 71165, gerbil         , mouth
 72125, savannah       , body
 73336, calicool       , pattern
 74478, olive          , coloreyes
 74482, spangled       , pattern
 76753, pixiebob       , body
 78681, beard          , mouth
 79360, tongue         , mouth
 85293, brownies       , colorprimary
 85857, belleblue      , colortertiary
 86992, scarlet        , colorsecondary
 88536, cashewmilk     , colortertiary
 89879, bobtail        , body
 91723, rorschach      , pattern
 92334, azaleablush    , colortertiary
 98160, coralsunrise   , coloreyes
 98255, barkbrown      , colorsecondary
 99299, dahlia         , coloreyes
101562, whixtensions   , mouth
102492, cymric         , body
102521, raisedbrow     , eyes
102690, salmon         , colorprimary
103541, orangesoda     , colorprimary
104072, ragamuffin     , body
105413, googly         , eyes
106626, emeraldgreen   , colortertiary
106899, aquamarine     , colorprimary
109620, gold           , coloreyes
113529, himalayan      , body
116944, grim           , mouth
119686, chestnut       , coloreyes
123103, wuvme          , mouth
123603, cinderella     , colorprimary
124951, chocolate      , colorsecondary
125358, wonky          , eyes
126723, sandalwood     , colortertiary
127224, birman         , body
128505, koladiviya     , body
130573, chronic        , eyes
134595, slyboots       , eyes
134646, frosting       , colortertiary
134965, topaz          , coloreyes
136056, thundergrey    , coloreyes
136971, sapphire       , coloreyes
137451, spock          , pattern
137977, simple         , eyes
138495, saycheese      , mouth
139151, cyan           , coloreyes
142146, tiger          , pattern
143197, purplehaze     , colortertiary
144433, egyptiankohl   , colorsecondary
145774, rascal         , pattern
149483, sphynx         , body
150984, icy            , colortertiary
155419, sizzurp        , coloreyes
155864, shadowgrey     , colorprimary
157550, wiley          , eyes
159927, munchkin       , body
162439, bananacream    , colorprimary
173342, mintgreen      , coloreyes
173532, mauveover      , colorprimary
175802, strawberry     , coloreyes
178842, selkirk        , body
187073, amur           , pattern
187321, luckystripe    , pattern
191869, crazy          , eyes
207247, cottoncandy    , colorprimary
215008, soserious      , mouth
222927, coffee         , colorsecondary
230758, ragdoll        , body
